month,trading_pnl,withdrawal,retained_profit,trades
2025-11,-51.627901,0.0,-51.627901,51
2025-12,959.999238,479.999619,479.999619,118
2026-01,239.324059,119.66203,119.66203,117
2026-02,-73.51406,0.0,-73.51406,109
2026-03,3740.701664,1870.350832,1870.350832,115
2026-04,6845.770534,3422.885267,3422.885267,104
2026-05,1015.460695,507.730347,507.730347,60
