month,amount,balance_after
2025-11,1000.0,3909.0006083272865
2025-12,1000.0,3894.526182372955
2026-01,1000.0,3078.930910507107
2026-02,1000.0,1995.323203323524
2026-03,1000.0,2936.225427937093
2026-04,1000.0,5970.199117991643
2026-05,1000.0,5689.0699424253335
