instrument,action,size,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,pnl,exit_reason
GBPJPY,BUY,179.53321364453728,208.9845,209.13925,209.26299999999998,2026-02-20T07:55:00+00:00,209.26299999999998,2026-02-20T08:48:00+00:00,50.0,take_profit
GBPJPY,BUY,161.0576923076862,210.0935,210.1495,210.40550000000002,2026-02-24T07:24:00+00:00,210.1495,2026-02-24T07:33:00+00:00,9.019230769227718,trailing_stop
GBPJPY,BUY,160.54313099043597,210.14999999999998,210.31,210.46299999999994,2026-02-24T07:28:00+00:00,210.46299999999994,2026-02-24T07:58:00+00:00,50.25,take_profit
GBPJPY,BUY,89.41281138790299,209.975,210.31900000000002,210.53699999999998,2026-02-24T07:17:00+00:00,210.53699999999998,2026-02-24T08:22:00+00:00,50.25,take_profit
GBPJPY,SELL,247.7931519700004,209.6985,209.61599999999999,209.4935,2026-03-02T07:48:00+00:00,209.61599999999999,2026-03-02T07:51:00+00:00,20.44293503752757,trailing_stop
GBPJPY,SELL,160.75188656281742,209.651,209.5155,209.33500000000004,2026-03-02T07:18:00+00:00,209.5155,2026-03-02T08:41:00+00:00,21.781880629262968,trailing_stop
GBPJPY,SELL,156.06020323763366,209.6415,209.52025,209.31600000000003,2026-03-02T07:20:00+00:00,209.52025,2026-03-02T08:41:00+00:00,18.922299642563612,trailing_stop
GBPJPY,SELL,233.8825250819138,209.9315,209.88124999999997,209.71300000000002,2026-03-03T07:07:00+00:00,209.88124999999997,2026-03-03T07:59:00+00:00,11.752596885374093,trailing_stop
GBPJPY,SELL,184.15615037981084,209.8725,209.82025,209.59500000000003,2026-03-03T07:08:00+00:00,209.82025,2026-03-03T08:10:00+00:00,9.62215885734788,trailing_stop
GBPJPY,BUY,159.5333504956458,210.23000000000002,210.295,210.55100000000004,2026-03-04T07:30:00+00:00,210.295,2026-03-04T07:51:00+00:00,10.36966778221208,trailing_stop
GBPJPY,BUY,107.92456377050758,210.3835,209.909,210.858,2026-03-04T07:31:00+00:00,209.909,2026-03-04T09:01:00+00:00,-51.21020550910651,trailing_stop
GBPJPY,SELL,288.1695074603062,211.722,211.7115,211.54500000000002,2026-03-13T07:50:00+00:00,211.7115,2026-03-13T08:00:00+00:00,3.025779828335377,trailing_stop
GBPJPY,SELL,134.9365153980792,211.949,211.73600000000002,211.57100000000003,2026-03-13T07:06:00+00:00,211.57100000000003,2026-03-13T08:03:00+00:00,51.006002820472034,take_profit
GBPJPY,SELL,222.73363677063483,211.7785,211.66150000000002,211.54950000000002,2026-03-13T07:44:00+00:00,211.54950000000002,2026-03-13T08:03:00+00:00,51.006002820472034,take_profit
GBPJPY,SELL,308.5700104659231,210.91199999999998,210.8925,210.74499999999995,2026-03-16T07:14:00+00:00,210.8925,2026-03-16T07:41:00+00:00,6.0171152040747655,trailing_stop
GBPJPY,SELL,113.94757419633227,211.502,211.48725,211.04950000000002,2026-03-19T07:07:00+00:00,211.48725,2026-03-19T07:08:00+00:00,1.6807267193982587,trailing_stop
GBPJPY,SELL,154.1694497980183,211.3365,211.15675,211.002,2026-03-19T07:56:00+00:00,211.002,2026-03-19T08:04:00+00:00,51.569680957435786,take_profit
GBPJPY,SELL,137.70275289035533,211.2965,211.09825,210.92200000000003,2026-03-19T07:57:00+00:00,210.92200000000003,2026-03-19T08:10:00+00:00,51.569680957435786,take_profit
GBPJPY,BUY,280.02891272585043,212.6885,212.5025,212.8745,2026-03-20T07:46:00+00:00,212.5025,2026-03-20T10:00:00+00:00,-52.08537776701015,trailing_stop
GBPJPY,BUY,269.92161915723165,212.89499999999998,212.70300000000003,213.08699999999993,2026-03-24T07:09:00+00:00,212.70300000000003,2026-03-24T08:04:00+00:00,-51.824950878175095,trailing_stop
GBPJPY,BUY,224.35043670208958,212.934,212.70300000000003,213.16499999999996,2026-03-24T07:10:00+00:00,212.70300000000003,2026-03-24T08:04:00+00:00,-51.824950878175095,trailing_stop
GBPJPY,BUY,274.3673870021278,213.0095,213.10750000000002,213.1965,2026-03-25T07:52:00+00:00,213.1965,2026-03-25T08:04:00+00:00,51.30670136939335,take_profit
GBPJPY,BUY,286.62961658878635,213.0635,213.11150000000004,213.2425,2026-03-25T07:55:00+00:00,213.11150000000004,2026-03-25T08:06:00+00:00,13.758221596270413,trailing_stop
GBPJPY,BUY,247.2612114187848,213.106,213.10675,213.31349999999998,2026-03-25T07:56:00+00:00,213.10675,2026-03-25T08:23:00+00:00,0.18544590856673096,trailing_stop
GBPJPY,SELL,388.2176933365466,212.814,212.81,212.68099999999998,2026-03-26T07:11:00+00:00,212.81,2026-03-26T07:20:00+00:00,1.5528707733425673,trailing_stop
GBPJPY,SELL,285.30783186534745,211.67149999999998,211.57300000000004,211.49049999999997,2026-03-30T07:17:00+00:00,211.49049999999997,2026-03-30T07:24:00+00:00,51.6407175676312,take_profit
GBPJPY,SELL,190.5561533861024,211.7285,211.5915,211.4575,2026-03-30T07:12:00+00:00,211.4575,2026-03-30T07:25:00+00:00,51.6407175676312,take_profit
