timestamp_utc,runner,group,strategy_kind,symbol,candle_time,event,reason,signal_reason,action,entry_price,stop_loss,take_profit,account_balance,account_equity,account_available_funds,open_positions_count,open_symbols,position_sizing_mode,account_risk_per_trade_pct,risk_amount,stop_distance,initial_position_size,final_position_size,position_size_capped,max_position_notional_pct,max_position_notional,max_position_size,broker_order_id,broker_deal_reference,broker_deal_id,realized_pnl,realized_currency,close_transaction_reference,close_transaction_time_utc
2026-05-17T19:34:14.916330+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:33:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:34:16.300176+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:34:43.499958+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:35:09.388425+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:34:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:35:10.814453+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:35:38.107842+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:36:05.489592+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:36:31.366612+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:35:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:36:32.752974+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:36:59.873049+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:37:25.687755+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:36:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:37:27.062583+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:37:54.333219+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:38:20.351961+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:37:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:38:21.746751+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:38:48.919466+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:39:14.804391+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:38:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:39:16.185584+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:39:43.236085+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,GOLD,,skip,insufficient_1m_candles,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-17T19:40:09.065330+00:00,multi,btc_gold_dynamic_1_5,asset_hybrid,BTCUSD,2026-05-17T19:39:00+00:00,reject,OUTSIDE_SESSION,,,,,,,,,,,,,,,,,,,,,,,,,,,
