instrument,action,size,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,pnl,exit_reason
GBPJPY,BUY,250.0,208.9845,209.13925,209.26299999999998,2026-02-20T07:55:00+00:00,209.26299999999998,2026-02-20T08:48:00+00:00,69.62499999999494,take_profit
GBPJPY,BUY,250.0,210.0935,210.1495,210.40550000000002,2026-02-24T07:24:00+00:00,210.1495,2026-02-24T07:33:00+00:00,13.999999999995794,trailing_stop
GBPJPY,BUY,250.0,210.14999999999998,210.31,210.46299999999994,2026-02-24T07:28:00+00:00,210.46299999999994,2026-02-24T07:58:00+00:00,78.24999999998994,take_profit
GBPJPY,BUY,250.0,209.975,210.31900000000002,210.53699999999998,2026-02-24T07:17:00+00:00,210.53699999999998,2026-02-24T08:22:00+00:00,140.49999999999585,take_profit
GBPJPY,SELL,250.0,209.6985,209.61599999999999,209.4935,2026-03-02T07:48:00+00:00,209.61599999999999,2026-03-02T07:51:00+00:00,20.625000000002558,trailing_stop
GBPJPY,SELL,250.0,209.651,209.5155,209.33500000000004,2026-03-02T07:18:00+00:00,209.5155,2026-03-02T08:41:00+00:00,33.875000000001876,trailing_stop
GBPJPY,SELL,250.0,209.6415,209.52025,209.31600000000003,2026-03-02T07:20:00+00:00,209.52025,2026-03-02T08:41:00+00:00,30.312500000000853,trailing_stop
GBPJPY,SELL,250.0,209.9315,209.88124999999997,209.71300000000002,2026-03-03T07:07:00+00:00,209.88124999999997,2026-03-03T07:59:00+00:00,12.56250000000847,trailing_stop
GBPJPY,SELL,250.0,209.8725,209.82025,209.59500000000003,2026-03-03T07:08:00+00:00,209.82025,2026-03-03T08:10:00+00:00,13.062500000003752,trailing_stop
GBPJPY,BUY,250.0,210.23000000000002,210.295,210.55100000000004,2026-03-04T07:30:00+00:00,210.295,2026-03-04T07:51:00+00:00,16.249999999992326,trailing_stop
GBPJPY,BUY,250.0,210.3835,209.909,210.858,2026-03-04T07:31:00+00:00,209.909,2026-03-04T09:01:00+00:00,-118.62500000000153,trailing_stop
GBPJPY,SELL,250.0,211.722,211.7115,211.54500000000002,2026-03-13T07:50:00+00:00,211.7115,2026-03-13T08:00:00+00:00,2.625000000001876,trailing_stop
GBPJPY,SELL,250.0,211.949,211.73600000000002,211.57100000000003,2026-03-13T07:06:00+00:00,211.57100000000003,2026-03-13T08:03:00+00:00,94.49999999999648,take_profit
GBPJPY,SELL,250.0,211.7785,211.66150000000002,211.54950000000002,2026-03-13T07:44:00+00:00,211.54950000000002,2026-03-13T08:03:00+00:00,57.24999999999625,take_profit
GBPJPY,SELL,250.0,210.91199999999998,210.8925,210.74499999999995,2026-03-16T07:14:00+00:00,210.8925,2026-03-16T07:41:00+00:00,4.874999999991303,trailing_stop
GBPJPY,SELL,250.0,211.502,211.48725,211.04950000000002,2026-03-19T07:07:00+00:00,211.48725,2026-03-19T07:08:00+00:00,3.6875000000051728,trailing_stop
GBPJPY,SELL,250.0,211.3365,211.15675,211.002,2026-03-19T07:56:00+00:00,211.002,2026-03-19T08:04:00+00:00,83.62499999999784,take_profit
GBPJPY,SELL,250.0,211.2965,211.09825,210.92200000000003,2026-03-19T07:57:00+00:00,210.92200000000003,2026-03-19T08:10:00+00:00,93.62499999999585,take_profit
GBPJPY,BUY,250.0,212.6885,212.5025,212.8745,2026-03-20T07:46:00+00:00,212.5025,2026-03-20T10:00:00+00:00,-46.50000000000176,trailing_stop
