run,symbol,action,size,entry_time,exit_time,entry_price,exit_price,pnl,cum,drawdown,exit_reason
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-18T12:10:00+00:00,2025-11-18T12:15:00+00:00,91027.1,91186.40357142857,-79.65178571,-79.65178571,-79.65178571,stop_loss
full_current_btc_gold_fixed,BTCUSD,BUY,0.5,2025-11-18T12:40:00+00:00,2025-11-18T12:50:00+00:00,91707.65,91525.57857142856,-91.03571429,-170.6875,-170.6875,stop_loss
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-18T13:35:00+00:00,2025-11-18T14:15:00+00:00,4066.04,4075.97,-49.65,-220.3375,-220.3375,stop_loss
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-18T14:15:00+00:00,2025-11-18T14:30:00+00:00,4080.4,4072.5108571428573,39.44571429,-180.89178571,-180.89178571,take_profit
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-18T14:30:00+00:00,2025-11-18T14:50:00+00:00,4074.99,4066.8574285714285,40.66285714,-140.22892857,-140.22892857,take_profit
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-19T14:05:00+00:00,2025-11-19T14:10:00+00:00,91135.65,91311.16428571429,-87.75714286,-227.98607143,-227.98607143,stop_loss
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-19T14:25:00+00:00,2025-11-19T14:30:00+00:00,91061.9,91258.19642857142,-98.14821429,-326.13428571,-326.13428571,stop_loss
full_current_btc_gold_fixed,GOLD,BUY,5.0,2025-11-19T16:25:00+00:00,2025-11-19T17:00:00+00:00,4074.42,4060.5096428571433,-69.55178571,-395.68607143,-395.68607143,stop_loss
full_current_btc_gold_fixed,GOLD,BUY,5.0,2025-11-19T17:00:00+00:00,2025-11-19T17:25:00+00:00,4060.85,4072.3537142857144,57.51857143,-338.1675,-338.1675,take_profit
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-20T13:00:00+00:00,2025-11-20T13:30:00+00:00,4087.81,4081.4645714285716,31.72714286,-306.44035714,-306.44035714,take_profit
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-20T14:00:00+00:00,2025-11-20T14:20:00+00:00,90963.15,91264.06785714286,-150.45892857,-456.89928571,-456.89928571,stop_loss
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-20T15:10:00+00:00,2025-11-20T15:20:00+00:00,90308.65,90715.46071428571,-203.40535714,-660.30464286,-660.30464286,stop_loss
full_current_btc_gold_fixed,GOLD,BUY,5.0,2025-11-20T16:55:00+00:00,2025-11-20T17:20:00+00:00,4048.99,4059.761714285714,53.85857143,-606.44607143,-606.44607143,take_profit
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-20T19:25:00+00:00,2025-11-20T20:10:00+00:00,4084.38,4077.228857142857,35.75571429,-570.69035714,-570.69035714,take_profit
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-21T07:15:00+00:00,2025-11-21T07:30:00+00:00,85309.4,84764.96428571429,272.21785714,-298.4725,-298.4725,take_profit
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-21T07:30:00+00:00,2025-11-21T07:35:00+00:00,83367.4,83770.97499999999,-201.7875,-500.26,-500.26,stop_loss
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-21T14:00:00+00:00,2025-11-21T14:15:00+00:00,4078.35,4071.4954285714284,34.27285714,-465.98714286,-465.98714286,take_profit
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-21T16:45:00+00:00,2025-11-21T16:50:00+00:00,4082.6,4091.408214285714,-44.04107143,-510.02821429,-510.02821429,stop_loss
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-21T16:50:00+00:00,2025-11-21T17:10:00+00:00,4093.92,4086.384,37.68,-472.34821429,-472.34821429,take_profit
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-22T10:20:00+00:00,2025-11-22T11:05:00+00:00,83765.3,83937.33928571429,-86.01964286,-558.36785714,-558.36785714,stop_loss
full_current_btc_gold_fixed,BTCUSD,BUY,0.5,2025-11-22T14:10:00+00:00,2025-11-22T14:45:00+00:00,84376.05,84213.1892857143,-81.43035714,-639.79821429,-639.79821429,stop_loss
full_current_btc_gold_fixed,BTCUSD,BUY,0.5,2025-11-23T08:55:00+00:00,2025-11-23T11:00:00+00:00,86093.35,85973.12142857144,-60.11428571,-699.9125,-699.9125,stop_loss
full_current_btc_gold_fixed,BTCUSD,BUY,0.5,2025-11-23T12:10:00+00:00,2025-11-23T13:10:00+00:00,86557.4,86416.66428571429,-70.36785714,-770.28035714,-770.28035714,stop_loss
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-24T09:05:00+00:00,2025-11-24T09:20:00+00:00,86533.15,86035.35357142857,248.89821429,-521.38214286,-521.38214286,take_profit
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-24T09:20:00+00:00,2025-11-24T11:35:00+00:00,86002.75,86183.76071428572,-90.50535714,-611.8875,-611.8875,stop_loss
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-24T13:15:00+00:00,2025-11-24T13:40:00+00:00,4081.4300000000003,4076.6317142857147,23.99142857,-587.89607143,-587.89607143,take_profit
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-24T15:10:00+00:00,2025-11-24T18:35:00+00:00,4092.35,4100.838928571428,-42.44464286,-630.34071429,-630.34071429,stop_loss
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-24T18:35:00+00:00,2025-11-24T18:50:00+00:00,4111.68,4117.628571428571,-29.74285714,-660.08357143,-660.08357143,stop_loss
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-25T07:50:00+00:00,2025-11-25T08:20:00+00:00,87394.4,87526.77857142857,-66.18928571,-726.27285714,-726.27285714,stop_loss
full_current_btc_gold_fixed,BTCUSD,SELL,0.5,2025-11-25T08:45:00+00:00,2025-11-25T09:10:00+00:00,87220.85,86829.50000000001,195.675,-530.59785714,-530.59785714,take_profit
full_current_btc_gold_fixed,GOLD,BUY,5.0,2025-11-25T14:45:00+00:00,2025-11-25T14:55:00+00:00,4115.17,4123.212571428571,40.21285714,-490.385,-490.385,take_profit
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-25T17:05:00+00:00,2025-11-25T17:30:00+00:00,4150.57,4159.374999999999,-44.025,-534.41,-534.41,stop_loss
full_current_btc_gold_fixed,GOLD,SELL,5.0,2025-11-25T17:30:00+00:00,2025-11-25T17:35:00+00:00,4157.49,4150.760571428572,33.64714286,-500.76285714,-500.76285714,take_profit
full_current_btc_gold_fixed,BTCUSD,BUY,0.5,2025-11-26T07:55:00+00:00,2025-11-26T08:00:00+00:00,87906.85,87817.64642857143,-44.60178571,-545.36464286,-545.36464286,stop_loss
