symbol,status,strategy_type,starting_balance,ending_balance,net_profit,total_return_pct,trade_count,win_rate_pct,profit_factor,best_trade,worst_trade,generated_signals,risk_rejected_signals,report_directory
BTCUSD,ok,breakout,5000.0,15078.30023313283,10078.30023313283,201.5660046626566,360,31.11111111111111,1.3467601075256064,692.5142941531443,-241.2258124633595,1544,1184,/Users/vishaljani/Documents/CapitalAlgo/reports/compare_btc2_gold3_5000/individual_runs/BTCUSD_MINUTE_5_20251117T000000_20260517T092000
GOLD,ok,mean_reversion,5000.0,6645.152059217432,1645.152059217432,32.903041184348645,311,59.163987138263664,1.1375141761444163,84.9178116475402,-107.42103173413835,835,524,/Users/vishaljani/Documents/CapitalAlgo/reports/compare_btc2_gold3_5000/individual_runs/GOLD_MINUTE_5_20251117T000000_20260515T205000
