instrument,action,size,entry_price,stop_loss,take_profit,entry_time,exit_price,exit_time,pnl,exit_reason
BTCUSD,SELL,0.9415984755072669,91027.1,91186.40357142857,90549.1892857143,2025-11-18T12:10:00+00:00,91186.40357142857,2025-11-18T12:15:00+00:00,-150.0,stop_loss
BTCUSD,BUY,0.8114947038053861,91707.65,91525.57857142856,92253.86428571428,2025-11-18T12:40:00+00:00,91525.57857142856,2025-11-18T12:50:00+00:00,-147.75,stop_loss
BTCUSD,SELL,0.8291846410548258,91135.65,91311.16428571429,90609.10714285713,2025-11-19T14:05:00+00:00,91311.16428571429,2025-11-19T14:10:00+00:00,-145.53375,stop_loss
BTCUSD,SELL,0.7302768817204394,91061.9,91258.19642857142,90473.0107142857,2025-11-19T14:25:00+00:00,91258.19642857142,2025-11-19T14:30:00+00:00,-143.35074375,stop_loss
BTCUSD,SELL,0.46923264685722404,90963.15,91264.06785714286,90060.39642857142,2025-11-20T14:00:00+00:00,91264.06785714286,2025-11-20T14:20:00+00:00,-141.20048259375,stop_loss
BTCUSD,SELL,0.3418849859916933,90308.65,90715.46071428571,89088.21785714285,2025-11-20T15:10:00+00:00,90715.46071428571,2025-11-20T15:20:00+00:00,-139.08247535484375,stop_loss
BTCUSD,SELL,0.7548893356725827,85309.4,85490.87857142856,84764.96428571429,2025-11-21T07:15:00+00:00,84764.96428571429,2025-11-21T07:30:00+00:00,410.9887146735633,take_profit
BTCUSD,SELL,0.3547322528517019,83367.4,83770.97499999999,82156.675,2025-11-21T07:30:00+00:00,83770.97499999999,2025-11-21T07:35:00+00:00,-143.16106894462456,stop_loss
BTCUSD,SELL,0.8196596046361331,83765.3,83937.33928571429,83249.18214285714,2025-11-22T10:20:00+00:00,83937.33928571429,2025-11-22T11:05:00+00:00,-141.0136529104552,stop_loss
BTCUSD,BUY,0.8528665045219453,84376.05,84213.1892857143,84864.63214285715,2025-11-22T14:10:00+00:00,84213.1892857143,2025-11-22T14:45:00+00:00,-138.89844811679836,stop_loss
BTCUSD,BUY,1.1379572240557878,86093.35,85973.12142857144,86454.03571428572,2025-11-23T08:55:00+00:00,85973.12142857144,2025-11-23T11:00:00+00:00,-136.81497139504637,stop_loss
BTCUSD,BUY,0.9575589786011187,86557.4,86416.66428571429,86979.60714285713,2025-11-23T12:10:00+00:00,86416.66428571429,2025-11-23T13:10:00+00:00,-134.76274682412068,stop_loss
BTCUSD,SELL,0.7999734309225516,86533.15,86699.08214285714,86035.35357142857,2025-11-24T09:05:00+00:00,86035.35357142857,2025-11-24T09:20:00+00:00,398.2239168652766,take_profit
BTCUSD,SELL,0.7663339980846889,86002.75,86183.76071428572,85459.71785714285,2025-11-24T09:20:00+00:00,86183.76071428572,2025-11-24T11:35:00+00:00,-138.71466437473802,stop_loss
BTCUSD,SELL,1.0321454819659845,87394.4,87526.77857142857,86997.26428571426,2025-11-25T07:50:00+00:00,87526.77857142857,2025-11-25T08:20:00+00:00,-136.63394440911694,stop_loss
BTCUSD,SELL,1.0316936392716227,87220.85,87351.3,86829.50000000001,2025-11-25T08:45:00+00:00,86829.50000000001,2025-11-25T09:10:00+00:00,403.7533057289405,take_profit
BTCUSD,BUY,1.5766267266723344,87906.85,87817.64642857143,88174.46071428571,2025-11-26T07:55:00+00:00,87817.64642857143,2025-11-26T08:00:00+00:00,-140.64073482891428,stop_loss
BTCUSD,SELL,1.5972293459260296,87287.05,87373.78214285715,87026.85357142858,2025-11-26T09:05:00+00:00,87373.78214285715,2025-11-26T09:10:00+00:00,-138.53112380648057,stop_loss
BTCUSD,BUY,1.8198953961050317,91508.2,91433.22142857143,91733.1357142857,2025-11-27T08:50:00+00:00,91733.1357142857,2025-11-27T09:15:00+00:00,409.35947084815007,take_profit
BTCUSD,BUY,1.9435425071015693,91747.05,91673.68214285714,91967.15357142857,2025-11-27T09:15:00+00:00,91673.68214285714,2025-11-27T09:20:00+00:00,-142.59354901210563,stop_loss
BTCUSD,SELL,1.554254468542746,91155.25,91245.61785714286,90884.14642857143,2025-11-28T07:35:00+00:00,90884.14642857143,2025-11-28T07:55:00+00:00,421.3639373307495,take_profit
BTCUSD,BUY,1.8631348877653497,91834.7,91755.92142857143,92071.03571428571,2025-11-28T10:50:00+00:00,91755.92142857143,2025-11-28T11:00:00+00:00,-146.77510483688525,stop_loss
BTCUSD,SELL,2.189796273613054,90549.95,90615.97142857143,90351.8857142857,2025-11-29T08:00:00+00:00,90615.97142857143,2025-11-29T08:05:00+00:00,-144.57347826433198,stop_loss
BTCUSD,SELL,2.4953604922274346,90494.75,90551.81785714286,90323.54642857143,2025-11-29T10:15:00+00:00,90551.81785714286,2025-11-29T10:20:00+00:00,-142.404876090367,stop_loss
BTCUSD,BUY,2.8466525205282207,90970.5,90921.225,91118.325,2025-11-30T07:10:00+00:00,91118.325,2025-11-30T08:20:00+00:00,420.80640884707594,take_profit
BTCUSD,BUY,1.9871526940484654,91331.05,91257.28571428571,91552.34285714285,2025-11-30T08:20:00+00:00,91257.28571428571,2025-11-30T08:25:00+00:00,-146.58089908171763,stop_loss
BTCUSD,SELL,1.9482897333367033,86493.25,86567.35714285714,86270.92857142858,2025-12-01T11:05:00+00:00,86270.92857142858,2025-12-01T11:40:00+00:00,433.1465567864473,take_profit
BTCUSD,SELL,1.9611098089888728,86278.8,86355.73571428572,86047.99285714286,2025-12-01T11:40:00+00:00,86047.99285714286,2025-12-01T12:05:00+00:00,452.63815184183727,take_profit
BTCUSD,BUY,1.583759919030647,87049.6,86950.04642857144,87348.26071428572,2025-12-02T10:40:00+00:00,87348.26071428572,2025-12-02T10:50:00+00:00,473.0068686747715,take_profit
BTCUSD,BUY,1.206715403505274,87712.15,87575.6107142857,88121.76785714286,2025-12-02T13:50:00+00:00,88121.76785714286,2025-12-02T14:05:00+00:00,494.2921777651131,take_profit
BTCUSD,BUY,1.3409163001147106,93207.15,93078.74642857142,93592.3607142857,2025-12-03T09:55:00+00:00,93078.74642857142,2025-12-03T10:00:00+00:00,-172.1784419215144,stop_loss
BTCUSD,BUY,1.5055105662911712,93376.85,93264.20000000001,93714.8,2025-12-03T10:20:00+00:00,93264.20000000001,2025-12-03T10:25:00+00:00,-169.59576529269168,stop_loss
BTCUSD,BUY,1.720536749346236,93411.85,93314.75714285715,93703.12857142858,2025-12-04T07:55:00+00:00,93314.75714285715,2025-12-04T08:05:00+00:00,-167.0518288133013,stop_loss
BTCUSD,SELL,1.8388702608943297,93023.55,93113.03214285715,92755.10357142857,2025-12-04T11:25:00+00:00,93113.03214285715,2025-12-04T12:40:00+00:00,-164.5460513811018,stop_loss
BTCUSD,BUY,1.842092911629486,92484.85,92396.86428571428,92748.80714285716,2025-12-05T07:25:00+00:00,92396.86428571428,2025-12-05T07:40:00+00:00,-162.07786061038527,stop_loss
BTCUSD,SELL,1.833739752895841,91901.85,91988.91071428572,91640.66785714285,2025-12-05T09:10:00+00:00,91640.66785714285,2025-12-05T09:15:00+00:00,478.94007810368856,take_profit
BTCUSD,SELL,2.6147563551292654,89420.2,89484.00357142856,89228.78928571427,2025-12-06T08:20:00+00:00,89484.00357142856,2025-12-06T09:10:00+00:00,-166.83079387278485,stop_loss
BTCUSD,BUY,4.084503590777779,89782.45,89742.21785714285,89903.14642857142,2025-12-06T13:40:00+00:00,89742.21785714285,2025-12-06T13:45:00+00:00,-164.3283319646931,stop_loss
BTCUSD,SELL,2.5203956153855,89422.55,89486.77142857143,89229.88571428572,2025-12-07T07:15:00+00:00,89229.88571428572,2025-12-07T08:10:00+00:00,485.5902209556681,take_profit
BTCUSD,SELL,2.3592145894830403,89132.2,89203.89642857143,88917.1107142857,2025-12-07T09:20:00+00:00,89203.89642857143,2025-12-07T09:25:00+00:00,-169.1472602995577,stop_loss
BTCUSD,BUY,1.6055484027607558,91703.55,91599.77857142857,92014.86428571428,2025-12-08T07:25:00+00:00,91599.77857142857,2025-12-08T07:45:00+00:00,-166.61005139506435,stop_loss
BTCUSD,BUY,1.4544694133118556,91959.35,91846.51785714287,92297.84642857144,2025-12-08T09:00:00+00:00,91846.51785714287,2025-12-08T10:05:00+00:00,-164.11090062413837,stop_loss
BTCUSD,SELL,1.8100370467942808,90310.55,90399.85714285714,90042.62857142858,2025-12-09T09:25:00+00:00,90042.62857142858,2025-12-09T10:35:00+00:00,484.9477113443289,take_profit
BTCUSD,SELL,1.7777406141389869,90014.7,90109.72142857143,89729.63571428572,2025-12-09T10:35:00+00:00,90109.72142857143,2025-12-09T10:40:00+00:00,-168.92345278494122,stop_loss
BTCUSD,BUY,2.183590564214875,92800.35,92724.15000000001,93028.95,2025-12-10T07:55:00+00:00,92724.15000000001,2025-12-10T08:00:00+00:00,-166.3896009931671,stop_loss
BTCUSD,BUY,1.812625980720943,92836.8,92746.38214285714,93108.05357142858,2025-12-10T09:45:00+00:00,93108.05357142858,2025-12-10T10:00:00+00:00,491.68127093478245,take_profit
BTCUSD,SELL,2.9563721898675954,90185.85,90243.78214285715,90012.05357142858,2025-12-11T12:05:00+00:00,90243.78214285715,2025-12-11T12:20:00+00:00,-171.26897604229134,stop_loss
BTCUSD,SELL,2.16173097764236,90036.35,90114.3892857143,89802.23214285716,2025-12-11T12:55:00+00:00,90114.3892857143,2025-12-11T13:00:00+00:00,-168.69994140165701,stop_loss
BTCUSD,BUY,1.5516388927692644,92539.1,92432.00714285715,92860.37857142858,2025-12-12T09:55:00+00:00,92432.00714285715,2025-12-12T10:45:00+00:00,-166.16944228063213,stop_loss
BTCUSD,BUY,1.9236707597800122,92509.2,92424.11428571428,92764.45714285714,2025-12-12T13:15:00+00:00,92424.11428571428,2025-12-12T13:20:00+00:00,-163.67690064642264,stop_loss
BTCUSD,SELL,3.69653530939118,90367.2,90410.81428571428,90236.35714285714,2025-12-13T11:40:00+00:00,90410.81428571428,2025-12-13T11:45:00+00:00,-161.22174713672632,stop_loss
BTCUSD,SELL,2.7040232218627853,90314.05,90372.77857142857,90137.8642857143,2025-12-13T12:45:00+00:00,90372.77857142857,2025-12-13T13:00:00+00:00,-158.80342092967544,stop_loss
BTCUSD,SELL,4.027771150671867,90075.3,90114.13571428572,89958.79285714286,2025-12-14T09:30:00+00:00,89958.79285714286,2025-12-14T10:10:00+00:00,469.26410884719087,take_profit
BTCUSD,SELL,3.4363610443398067,89825.8,89873.36785714286,89683.09642857143,2025-12-14T10:10:00+00:00,89873.36785714286,2025-12-14T10:15:00+00:00,-163.46033124843817,stop_loss
BTCUSD,BUY,1.8515836766191347,89924.5,89837.54285714286,90185.37142857142,2025-12-15T09:00:00+00:00,89837.54285714286,2025-12-15T09:10:00+00:00,-161.00842627971159,stop_loss
BTCUSD,SELL,1.1254308226155654,89075.6,89216.51785714287,88652.84642857143,2025-12-15T14:30:00+00:00,89216.51785714287,2025-12-15T14:35:00+00:00,-158.59329988551593,stop_loss
BTCUSD,SELL,1.3471735896398855,85882.9,85998.85714285713,85535.02857142856,2025-12-16T07:40:00+00:00,85998.85714285713,2025-12-16T07:45:00+00:00,-156.21440038723318,stop_loss
BTCUSD,BUY,1.4487837657810114,86733.8,86627.59285714285,87052.42142857143,2025-12-16T10:35:00+00:00,87052.42142857143,2025-12-16T10:40:00+00:00,461.613553144232,take_profit
BTCUSD,SELL,1.3157609606057379,86489.75,86611.95714285714,86123.12857142858,2025-12-17T08:25:00+00:00,86611.95714285714,2025-12-17T10:10:00+00:00,-160.79538767858818,stop_loss
