config,starting_balance,ending_balance,net_profit,max_drawdown,trade_count,win_rate_pct,profit_factor,wins,losses
Current BTC 2 / Gold 3,10000.0,33446.9,23446.9,-3829.44,671,44.11,1.2857,296,375
Both 4/day,10000.0,44780.5,34780.5,-6515.63,1065,40.09,1.1917,427,638
